Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sánchez-Galán, Javier E; Henry-Royo, Anel; Jo, Kang-Hyun; Cáceres-Hernández, Danilo; ",Automatic feature detection and classification for watermelon (citrillus lanatus),2022 International Workshop on Intelligent Systems (IWIS),,,1-7,2022,IEEE
"Castro Rodríguez, A. A; Sanchez-Galan, J. E.; ",Desarrollo de un prototipo de sistema ciber-físico para el control administrativo del suministro de bebidas y refrescos Development of a Expert System and a Prototype of a Cyber-physical System for the Administrative Control of the Supply of Beverage,"Informática Y Sistemas: Revista De Tecnologías De La Informática Y Las Comunicaciones,",6,2,23–35,2022,https://revistas.utm.edu.ec/index.php/Informaticaysistemas/article/view/4777
"Contreras, Kenji; Verbel, Gabriel; Sanchez, Jose; Sanchez-Galan, Javier E; ",Using topic modelling for analyzing panamanian parliamentary proceedings with neural and statistical methods,2022 IEEE 40th Central America and Panama Convention (CONCAPAN),,,1-6,2022,IEEE
"Teran-Quezada, Alvaro; Lopez-Cabrera, Victor; Rangel, Jose Carlos; Sanchez-Galan, Javier E; ",Hand gesture recognition with convnets for school-aged children to learn basic arithmetic operations,2022 IEEE 40th Central America and Panama Convention (CONCAPAN),,,1-6,2022,IEEE
"Valencia, Vicente Alonso Navarro; Sanchez-Galan, Javier E; ",Use of attention-based neural networks to short-term load forecasting in the republic of panama,2022 IEEE 40th Central America and Panama Convention (CONCAPAN),,,1-6,2022,IEEE
"Caceres-Hernandez, Danilo; Gutierrez, Ricardo; Kung, Kelvin; Rodriguez, Juan; Lao, Oscar; Contreras, Kenji; Jo, Kang-Hyun; Sanchez-Galan, Javier E; ",Recent advances in automatic feature detection and classification of fruits including with a special emphasis on Watermelon (Citrillus lanatus): A review,Neurocomputing,526,,62-79,2023,Elsevier
"Navarro, Vicente; Sánchez-Galán, Javier; ",Correlación dela incidencia de casos de Covid-19 con variables climáticas en la República de Panamá,Revista Plus Economía,10,1,43-54,2022,
"Sanchez-Galan, Javier E; Miller, Norma; Roach-Rivas, Giancarlo; ",Profile of Applicants Who Did Not Use the ALEKS Smart Tutor to Prepare for the Entrance Exam to the Technological University of Panama in 2018,"2022 8th International Engineering, Sciences and Technology Conference (IESTEC)",,,324-329,2022,IEEE
"Merchan, Fernando; Contreras, Kenji; Gittens, Rolando A; Loaiza, Jose R; Sanchez-Galan, Javier E; ",Deep metric learning for the classification of MALDI-TOF spectral signatures from multiple species of neotropical disease vectors,Artificial Intelligence in the Life Sciences,3,,100071,2023,Elsevier
"Valencia, Vicente Alonso Navarro; Díaz, Yamilka; Pascale, Juan Miguel; Boni, Maciej F; Sanchez-Galan, Javier E; ",Using compartmental models and Particle Swarm Optimization to assess Dengue basic reproduction number R0 for the Republic of Panama in the 1999-2022 period,Heliyon,9,4,,2023,Elsevier
"Merchan, Fernando; Contreras, Kenji; Gittens, Rolando A; Loaiza, Jose R; Sanchez-Galan, Javier E; ",Artificial Intelligence in the Life Sciences,,,,,,
"Serrano Reyes, Jorge; Jiménez, José Ulises; Quirós-McIntire, Evelyn Itzel; Sanchez-Galan, Javier E; Fábrega, José R; ",Comparing Two Methods of Leaf Area Index Estimation for Rice (Oryza sativa L.) Using In-Field Spectroradiometric Measurements and Multispectral Satellite Images,AgriEngineering,5,2,965-981,2023,MDPI
"Reyes-Arias, Jessica D; Brady, Beth; Ramos, Eric A; Henaut, Yann; Castelblanco-Martinez, Delma Nataly; Maust-Mohl, Maria; Searle, Linda; Perez-Lachaud, Gabriela; Guzmán, Héctor M; Poveda, Héctor; ",Vocalizations of wild West Indian manatee vary across subspecies and geographic location,Scientific Reports,13,1,11028,2023,Nature Publishing Group UK London
"Vasquez, Sorhay; Batista, Manuel; Santana, Luys; Guerrero, Bernardo; Morales, Roberto; Galán, Javier Sánchez; Matus, Ericka; Molino, Jay; ",Design and Construction of a Multiparameter Instrument Prototype for Continuous Remote Monitoring of Physical Variables,"2022 8th International Engineering, Sciences and Technology Conference (IESTEC)",,,393-397,2022,IEEE
"Vásquez, Sorhay; Batista, Manuel; Santana, Luys; Guerrero, Bernardo; Morales, Roberto; Sánchez Galán, Javier; Matus, Ericka; Molino, Jay; ",Diseño y construcción de un prototipo de instrumento multiparámetro para el monitoreo continuo a distancia de variables físicas,,,,,2023,IEEE
"Acosta-Tejada, Danny; Sanchez-Galan, Javier; Torres-Batista, Nelliud; ",Abordando el Desequilibrio de Datos en Clasificación de ataques de denegación de servicio distribuido (ddos),Congreso Nacional de Ciencia y Tecnología–APANAC,,,117-126,2023,
"Morales Maure, Luisa; Zachrisson Salamina, Bruno; Sánchez-Galán, Javier; Mairim, Solis; ",Congreso Nacional de Ciencia y Tecnología–APANAC: Acta de artículos 2023,,,,,2023,APANAC
"Ortega, Kevin González; Aguilar, Eliecer; Aizprúa, Ana Gabriela; Cedeño, Eddy; Sánchez-Galán, Javier; ","Estructuración de un sistema de información geoespacial para el análisis de datos de seguridad alimentaria, intervenciones nutricionales y de salud humana en Panamá",Congreso Nacional de Ciencia y Tecnología–APANAC,,,356-362,2023,
"Maure, Luisa Morales; Salamina, Bruno Zachrisson; Sánchez-Galán, Javier; Solis, Mairim; ",Congreso Nacional de Ciencia y Tecnología–APANAC: Acta de artículos 2023,Congreso Nacional de Ciencia y Tecnología–APANAC,,,1-411,2023,
"Contreras, Kenji; Merchan, Fernando; Poveda, Héctor; Guzmán, Héctor M; Sanchez-Galan, Javier E; ",Construction of a data integration platform for the passive monitoring of the Antillean manatee in Panama,2023 IEEE Latin-American Conference on Communications (LATINCOM),,,1-6,2023,IEEE
"Ríos, Edwin; Merchan, Fernando; Poveda, Héctor; Sanchez-Galan, Javier E; Guzman, Hector M; Ferré, Guillaume; ",Edge computing applied on real-time manatee detection using microcontrollers,2023 IEEE Latin-American Conference on Communications (LATINCOM),,,1-6,2023,IEEE
"Acosta-Tejada, Danny E; Sanchez-Galan, Javier E; Torres-Batista, Nelliud; ",Analyzing DDoS Attack Classification with Data Imbalance Using Generative Adversarial Networks,2023 IEEE Latin-American Conference on Communications (LATINCOM),,,1-6,2023,IEEE
"Teran-Quezada, Alvaro A; Lopez-Cabrera, Victor; Rangel, Jose Carlos; Sanchez-Galan, Javier E; ",Sign-to-Text translation from panamanian sign language to Spanish in continuous capture mode with deep neural networks,Big Data and Cognitive Computing,8,3,25,2024,MDPI
"Avellaneda-Tamayo, Juan F; Agudo-Muñoz, Naicolette A; Sánchez-Galán, Javier E; López-Pérez, José L; Medina-Franco, José L; ",Chemoinformatic characterization of NAPROC-13: A database for natural product 13C NMR dereplication,Journal of Natural Products,87,9,2216-2229,2024,American Chemical Society and American Society of Pharmacognosy
"Merchan, Fernando; Contreras, Kenji; Poveda, Héctor; Guzman, Hector M; Sanchez-Galan, Javier E; ",Unsupervised Identification of Greater Caribbean Manatees Using Scattering Wavelet Transform and Hierarchical Density Clustering from Underwater Bioacoustics Recordings,Frontiers in Marine Science,11,,1416247,2024,Frontiers
"Valencia, Vicente Alonso Navarro; Abrahams, Tomas; Sanchez-Galan, Javier E; ",A Comparative Analysis of Energy Storage Management in Panama with ADMM Optimization,2024 IEEE Technology and Engineering Management Society (TEMSCON LATAM),,,1-8,2024,IEEE
"Sanchez-Rodriguez, Jaime A; Teran-Quezada, Alvaro; Sanchez-Galan, Javier E; Rangel, Jose Carlos; ",Motorcycle Safety Gear Recognition with Deep Learning,2024 IEEE Technology and Engineering Management Society (TEMSCON LATAM),,,1-6,2024,IEEE
"Puello, Jose de Jesus Jimenez; Sanchez-Galan, Javier E; Dominguez, Danilo; ",Propuesta de un Entorno Multimodelo de Madurez para Software Libre y su Aplicación a Plataformas de Aprendizaje Automático,"2024 IEEE VII Congreso Internacional en Inteligencia Ambiental, Ingeniería de Software y Salud Electrónica y Móvil (AmITIC)",,,1-6,2024,IEEE
"Campos, Alfredo; Sarmiento, Aneth; Alvarez, Aranzazu Berbey; Garibaldi, Ariel Antonio Grey; Rodríguez, Berta García; Boya, Carlos; Gómez, Carlos; Medina, Carlos; Ízaga, Carlos Romero; Saito, Carlos; ",Adolfo Israel Lomeli García Adriana Damasceno Agueda García Carrillo Alexander Dario Esquivel López,,,,,,
"Von Chong, Alejandro; Esquivel, Alexander; Campos, Alfredo; Watson, Amanda; Sarmiento, Aneth; Cravero, Ania; Barba, Anovel; Grey, Ariel; Castillo, Armando; James, Arthur; ",Adolfo Israel Lomeli García Agata Garcia Agatha DaSilva Alberto Cañas,,,,,,
"Arias, Reyes; Martínez, Castelblanco; Lachaud, Pérez; Galan, Sanchez; ",Vocalizations of wild West Indian manatee vary across subspecies and geographic location,,,,,,
"Acosta, Jhonny E Correa; Ortiz, Johana Gabriela Arauz; Galán, Javier E Sánchez; Soriano, Valeria M Ramírez; Venegas-Anaya, Miryam; ","Variación espacial en la estación seca de las características fisicoquímicas del agua marino-costera en Bahia Damas, Parque Nacional Coiba, Panamá","2024 9th International Engineering, Sciences and Technology Conference (IESTEC)",,,264-270,2024,IEEE
"Ureña, Grimaldo E; Diaz, Yamilka; Lopez-Verges, Sandra Laurence; Pascale, Juan M; Sanchez-Galan, Javier E; ",A Framework for Early-Detection and Prediction of Dengue Outbreaks for the Republic of Panama,Frontiers in Tropical Diseases,5,,1465856,2025,Frontiers
"Fiol, Ilka Esmeralda; Colón, Jonathan Núñez; Rodríguez, Anilys; Sarmiento, Aneth; Torres, Martín Gómez; Sanchez-Galan, Javier E; ",Análisis Geoespacial Multitemporal de la Relación Entre Cobertura Boscosa y Sensación térmica en área Urbana de la Ciudad de Panamá,2024 IEEE Central America and Panama Student Conference (CONESCAPAN),,,1-6,2024,IEEE
"Fung, Chi; Sanchez-Galan, Javier E; ",Grammar Inference of Mixed Notation Language Using ALBERT Model for String Validation,2024 IEEE Central America and Panama Student Conference (CONESCAPAN),,,1-6,2024,IEEE
"Sanchez-Galan, Javier E; Contreras, Kenji; Denoce, Allan; Poveda, Héctor; Merchan, Fernando; Guzmán, Hector M; ",Drone-Based Detection and Classification of Greater Caribbean Manatees in the Panama Canal Basin,Drones,9,4,230,2025,MDPI
"Ibarra-Ramírez, Ernesto A; Pacheco, Jhoanny Y; Ceron-Quiceno, Manuel F; Estrada-Petrocelli, Luis; Cáceres-Hernández, Danilo; Sáncrez-Galán, Javier; Molino, Jay; ",WBAN-COVID-19: Wireless Body Area Networks to Monitor Patients with COVID-19 in Home Isolation,IFMBE Latin American Conference on Digital Health,,,215-236,2024,Springer Nature Switzerland Cham
"Sanchez-Galan, Javier E; Jo, Kang-Hyun; Cáceres-Hernández, Danilo; ",Stairway detection based on single camera by motion stereo for the blind and visually impaired,Machine Vision and Navigation,,,657-673,2019,Springer
